Count,Redshift (r),Magnitude (m),R^2,rm,m^2
1,1.56,21.38,2.4336,33.3528,457.1044
3,1.56,21.13,2.4336,32.9628,446.4769
3,1.56,20.88,2.4336,32.5728,435.9744
1,1.56,20.63,2.4336,32.1828,425.5969
1,1.56,20.38,2.4336,31.7928,415.3444
3,1.56,20.13,2.4336,31.4028,405.2169
2,1.56,19.88,2.4336,31.0128,395.2144
4,1.56,19.63,2.4336,30.6228,385.3369
1,1.56,19.38,2.4336,30.2328,375.5844
1,1.56,19.13,2.4336,29.8428,365.9569
1,1.56,18.88,2.4336,29.4528,356.4544
0,1.56,18.63,2.4336,29.0628,347.0769
0,1.56,18.38,2.4336,28.6728,337.8244
0,1.56,18.13,2.4336,28.2828,328.6969
0,1.56,17.88,2.4336,27.8928,319.6944
0,1.56,17.63,2.4336,27.5028,310.8169
0,1.56,17.38,2.4336,27.1128,302.0644
0,1.56,17.13,2.4336,26.7228,293.4369
6,-1.44,21.38,2.0736,-30.7872,457.1044
2,-1.44,21.13,2.0736,-30.4272,446.4769
2,-1.44,20.88,2.0736,-30.0672,435.9744
1,-1.44,20.63,2.0736,-29.7072,425.5969
3,-1.44,20.38,2.0736,-29.3472,415.3444
2,-1.44,20.13,2.0736,-28.9872,405.2169
0,-1.44,19.88,2.0736,-28.6272,395.2144
1,-1.44,19.63,2.0736,-28.2672,385.3369
0,-1.44,19.38,2.0736,-27.9072,375.5844
1,-1.44,19.13,2.0736,-27.5472,365.9569
0,-1.44,18.88,2.0736,-27.1872,356.4544
1,-1.44,18.63,2.0736,-26.8272,347.0769
0,-1.44,18.38,2.0736,-26.4672,337.8244
3,-1.44,18.13,2.0736,-26.1072,328.6969
0,-1.44,17.88,2.0736,-25.7472,319.6944
1,-1.44,17.63,2.0736,-25.3872,310.8169
1,-1.44,17.38,2.0736,-25.0272,302.0644
1,-1.44,17.13,2.0736,-24.6672,293.4369
6,-1.31,21.38,1.7161,-28.0078,457.1044
3,-1.31,21.13,1.7161,-27.6803,446.4769
3,-1.31,20.88,1.7161,-27.3528,435.9744
4,-1.31,20.63,1.7161,-27.0253,425.5969
2,-1.31,20.38,1.7161,-26.6978,415.3444
4,-1.31,20.13,1.7161,-26.3703,405.2169
2,-1.31,19.88,1.7161,-26.0428,395.2144
1,-1.31,19.63,1.7161,-25.7153,385.3369
0,-1.31,19.38,1.7161,-25.3878,375.5844
0,-1.31,19.13,1.7161,-25.0603,365.9569
0,-1.31,18.88,1.7161,-24.7328,356.4544
